blocksize,elapsed_time
12,3.5527e-05
13,3.5306e-05
14,3.4385e-05
15,4.0928e-05
16,3.6949e-05
17,3.9094e-05
18,3.9815e-05
19,3.6378e-05
20,3.7972e-05
blocksize,elapsed_time
0,4.1699e-05
1,3.9224e-05
2,3.9344e-05
3,3.733e-05
4,3.717e-05
5,3.5377e-05
6,3.8843e-05
7,3.9204e-05
8,3.6819e-05
9,3.6358e-05
10,3.8482e-05
11,3.8212e-05
12,3.727e-05
13,3.9314e-05
14,3.8061e-05
15,3.753e-05
16,3.719e-05
17,3.5708e-05
18,3.6699e-05
19,3.68e-05
20,4.1518e-05
blocksize,elapsed_time
0,4.1107e-05
1,4.0025e-05
2,4.1759e-05
3,4.4453e-05
4,4.1328e-05
5,3.7821e-05
6,3.9745e-05
7,4.2229e-05
8,3.8513e-05
9,3.8803e-05
10,3.6569e-05
11,3.6729e-05
12,3.6128e-05
13,3.6268e-05
14,3.6219e-05
15,3.7109e-05
16,3.5887e-05
17,3.6048e-05
18,3.6459e-05
19,3.6128e-05
20,4.0476e-05
blocksize,elapsed_time
0,3.712e-05
1,3.682e-05
2,3.6829e-05
3,3.7451e-05
4,3.6749e-05
5,3.8041e-05
6,3.6909e-05
7,3.739e-05
8,3.7461e-05
9,3.7931e-05
10,3.7731e-05
11,3.707e-05
12,3.6909e-05
13,3.74e-05
14,3.8362e-05
15,3.728e-05
16,3.713e-05
17,3.705e-05
18,3.727e-05
19,3.7741e-05
20,3.748e-05
blocksize,elapsed_time
0,3.4846e-05
1,3.5256e-05
2,3.5376e-05
3,3.5868e-05
4,3.6248e-05
5,3.5106e-05
6,3.5987e-05
7,3.8001e-05
8,3.5888e-05
9,3.5757e-05
10,3.5226e-05
11,3.5416e-05
12,3.6048e-05
13,3.5317e-05
14,3.5617e-05
15,3.5847e-05
16,3.5537e-05
17,3.6629e-05
18,3.6749e-05
19,3.5987e-05
20,3.6699e-05
blocksize,elapsed_time
0,3.8402e-05
1,3.8552e-05
2,3.9123e-05
3,4.0246e-05
