blocksize,elapsed_time
84,1.5299e-05
85,1.5499e-05
86,1.6581e-05
87,1.5248e-05
88,1.5459e-05
89,1.5258e-05
90,1.4909e-05
91,1.6391e-05
92,1.5459e-05
93,1.4858e-05
94,1.5399e-05
95,1.4777e-05
96,1.6401e-05
97,1.5419e-05
98,1.5339e-05
99,1.5419e-05
blocksize,elapsed_time
0,1.6491e-05
1,1.7203e-05
2,1.9066e-05
3,1.5319e-05
4,1.608e-05
5,1.7062e-05
6,1.6952e-05
7,1.605e-05
8,1.5359e-05
9,1.6061e-05
10,1.603e-05
11,1.605e-05
12,1.5629e-05
13,1.7553e-05
14,1.604e-05
15,1.602e-05
16,1.6211e-05
17,1.5639e-05
18,1.7092e-05
19,1.5629e-05
20,1.6121e-05
21,1.604e-05
22,1.581e-05
23,1.6992e-05
24,1.605e-05
25,1.567e-05
26,1.6291e-05
27,1.5709e-05
28,1.7132e-05
29,1.7373e-05
30,1.9687e-05
31,2.169e-05
32,1.9116e-05
33,2.0208e-05
34,1.6651e-05
35,1.5639e-05
36,1.636e-05
37,1.606e-05
38,1.7132e-05
39,1.6161e-05
40,1.5409e-05
41,1.603e-05
42,1.6241e-05
43,1.608e-05
44,1.6431e-05
45,1.7493e-05
46,1.616e-05
47,1.614e-05
48,1.615e-05
49,1.5629e-05
50,1.7403e-05
51,1.571e-05
52,1.6091e-05
53,1.6231e-05
54,1.6471e-05
55,1.8304e-05
56,1.6662e-05
57,1.6471e-05
58,1.589e-05
59,1.586e-05
60,1.7012e-05
61,1.6211e-05
62,1.5669e-05
63,1.607e-05
64,1.6e-05
65,1.6842e-05
66,1.6411e-05
67,1.5499e-05
68,1.6101e-05
69,1.555e-05
70,1.6932e-05
71,1.555e-05
72,1.554e-05
73,1.6031e-05
74,1.6902e-05
75,1.601e-05
76,1.615e-05
77,1.7442e-05
78,1.6111e-05
79,1.602e-05
80,1.598e-05
81,1.563e-05
82,1.7493e-05
83,1.6831e-05
84,1.6421e-05
85,1.613e-05
86,1.6471e-05
87,1.7413e-05
88,1.6371e-05
89,1.6101e-05
90,1.6171e-05
91,1.6742e-05
92,1.8114e-05
93,1.7022e-05
94,1.6702e-05
95,1.6101e-05
96,1.6371e-05
97,1.7052e-05
98,1.601e-05
99,1.5319e-05
blocksize,elapsed_time
0,1.7012e-05
1,1.6511e-05
2,1.7093e-05
3,1.7934e-05
4,1.7062e-05
5,1.6892e-05
6,1.6321e-05
7,1.6992e-05
8,1.6972e-05
9,1.6932e-05
10,1.7974e-05
11,1.7002e-05
12,1.7212e-05
13,1.633e-05
14,1.8464e-05
15,1.6982e-05
16,1.7383e-05
17,1.8515e-05
18,1.6922e-05
19,1.6531e-05
20,1.7042e-05
21,1.7773e-05
22,1.6862e-05
23,1.6681e-05
24,1.6591e-05
25,1.6421e-05
26,1.6662e-05
27,1.7042e-05
28,1.8003e-05
29,1.6491e-05
30,1.6952e-05
31,1.6371e-05
32,1.6582e-05
33,1.6672e-05
34,1.6992e-05
35,1.8014e-05
36,1.7032e-05
37,1.6341e-05
38,1.6421e-05
39,1.6892e-05
40,1.6992e-05
41,1.7332e-05
42,1.8235e-05
43,1.6451e-05
44,1.6642e-05
45,3.9114e-05
46,1.8785e-05
47,1.7152e-05
48,1.7383e-05
49,1.8024e-05
50,1.7593e-05
51,1.7493e-05
52,1.8645e-05
53,1.9406e-05
54,1.7332e-05
55,1.7012e-05
56,1.6611e-05
57,1.7172e-05
58,1.7202e-05
59,1.7192e-05
60,1.8465e-05
61,1.6992e-05
62,1.7563e-05
63,1.6791e-05
64,1.7343e-05
65,1.7203e-05
66,1.7352e-05
67,1.8585e-05
68,1.7343e-05
69,1.7283e-05
70,1.6962e-05
71,1.7202e-05
72,1.7272e-05
73,1.7102e-05
74,1.8534e-05
75,1.7253e-05
76,1.7213e-05
77,1.6791e-05
78,1.8665e-05
79,1.7172e-05
80,1.7403e-05
81,1.9186e-05
82,1.7232e-05
83,1.7122e-05
84,1.7192e-05
85,1.8084e-05
86,1.7062e-05
87,1.7042e-05
88,1.7292e-05
89,1.7392e-05
90,1.6771e-05
91,1.6972e-05
92,1.8044e-05
93,1.6371e-05
94,1.6872e-05
95,1.6722e-05
96,1.6922e-05
97,1.8514e-05
98,2.0208e-05
99,2.0047e-05
blocksize,elapsed_time
0,1.8014e-05
1,1.7322e-05
2,1.9477e-05
3,1.8074e-05
4,1.7102e-05
5,1.9407e-05
6,2.2443e-05
7,1.7974e-05
8,1.8905e-05
9,2.0699e-05
10,1.9957e-05
11,2.0359e-05
12,2.0669e-05
13,1.7813e-05
14,1.8515e-05
15,1.8044e-05
16,2.9074e-05
17,1.8084e-05
18,1.9777e-05
19,1.9206e-05
20,1.7533e-05
21,1.8425e-05
22,1.8545e-05
23,1.8164e-05
24,1.7583e-05
25,2.0809e-05
26,2.131e-05
27,2.0889e-05
28,1.8986e-05
29,1.8054e-05
30,1.7263e-05
31,1.8886e-05
32,1.7934e-05
33,1.7333e-05
34,1.7563e-05
35,1.7403e-05
36,1.7673e-05
37,1.9307e-05
38,1.8875e-05
39,1.9908e-05
40,1.8124e-05
41,1.7613e-05
42,1.8274e-05
43,1.7523e-05
44,1.9206e-05
45,1.7333e-05
46,1.7453e-05
47,1.7283e-05
48,1.8154e-05
49,1.7143e-05
50,1.9106e-05
51,1.8254e-05
52,1.8845e-05
53,1.9547e-05
54,2.098e-05
55,1.8956e-05
56,1.8475e-05
57,1.8845e-05
58,1.8665e-05
59,1.7593e-05
60,1.8174e-05
61,1.8024e-05
62,1.7593e-05
63,1.9256e-05
64,1.8074e-05
65,1.8886e-05
66,2.0098e-05
67,2.5628e-05
68,2.3043e-05
69,2.5017e-05
70,2.3895e-05
71,2.0358e-05
72,1.9356e-05
73,1.8735e-05
74,1.8485e-05
75,1.7764e-05
76,1.9677e-05
77,1.8225e-05
78,1.7623e-05
79,1.7974e-05
80,1.9857e-05
81,1.9717e-05
82,2.0268e-05
83,1.9106e-05
84,1.8946e-05
85,1.9958e-05
86,1.8484e-05
87,1.8725e-05
88,1.8325e-05
89,1.9597e-05
90,1.8635e-05
91,1.7513e-05
92,1.7403e-05
93,1.8225e-05
94,1.9316e-05
95,1.8946e-05
96,1.8184e-05
97,1.8364e-05
98,1.7913e-05
99,1.8344e-05
blocksize,elapsed_time
0,1.9888e-05
1,2.0879e-05
2,2.14e-05
3,1.9006e-05
4,2.0018e-05
5,1.8966e-05
6,1.9106e-05
7,1.8044e-05
8,2.124e-05
9,1.8996e-05
10,1.8715e-05
11,1.8755e-05
12,1.8565e-05
13,1.8705e-05
14,2.0428e-05
15,1.8736e-05
16,1.8756e-05
17,1.9096e-05
18,1.9096e-05
19,1.8855e-05
20,1.8445e-05
21,1.9847e-05
22,1.8876e-05
23,1.9356e-05
24,2.4656e-05
25,2.1441e-05
26,2.0258e-05
27,2.132e-05
28,2.3043e-05
29,2.115e-05
30,2.0027e-05
31,2.1812e-05
32,2.3084e-05
33,2.5758e-05
34,2.6189e-05
35,2.9706e-05
36,2.5418e-05
37,2.2572e-05
38,2.3033e-05
39,2.2612e-05
40,4.0776e-05
41,2.1631e-05
42,1.9857e-05
43,2.0549e-05
44,2.166e-05
45,1.7914e-05
46,2.0889e-05
47,2.1461e-05
48,2.0088e-05
49,2.0218e-05
50,2.0188e-05
51,2.0769e-05
52,1.7904e-05
53,2.1039e-05
54,2.0198e-05
55,2.2212e-05
56,2.2201e-05
57,2.097e-05
58,2.0519e-05
59,2.2592e-05
60,2.0098e-05
61,2.117e-05
62,1.9928e-05
63,2.0057e-05
64,1.8956e-05
65,2.2092e-05
66,2.0509e-05
67,2.0719e-05
68,1.9727e-05
